question_id,knowledge_point,reviewer_code,answer_correct,prompt_unambiguous,accepted_answers_complete,scaffold_safe,visual_correct,age_appropriate,status,notes
G1V1-U1-KP01-T,1~5的认识与大小比较,,,,,,,,pending,
G1V1-U1-KP01-V01,1~5的认识与大小比较,,,,,,,,pending,
G1V1-U1-KP01-V02,1~5的认识与大小比较,,,,,,,,pending,
G1V1-U1-KP01-V03,1~5的认识与大小比较,,,,,,,,pending,
G1V1-U1-KP01-V04,1~5的认识与大小比较,,,,,,,,pending,
G1V1-U1-KP01-V05,1~5的认识与大小比较,,,,,,,,pending,
G1V1-U1-KP01-V06,1~5的认识与大小比较,,,,,,,,pending,
G1V1-U1-KP01-V07,1~5的认识与大小比较,,,,,,,,pending,
G1V1-U1-KP01-V08,1~5的认识与大小比较,,,,,,,,pending,
G1V1-U1-KP01-V09,1~5的认识与大小比较,,,,,,,,pending,
G1V1-U1-KP01-V10,1~5的认识与大小比较,,,,,,,,pending,
G1V1-U1-KP02-T,5以内数的组成,,,,,,,,pending,
G1V1-U1-KP02-V01,5以内数的组成,,,,,,,,pending,
G1V1-U1-KP02-V02,5以内数的组成,,,,,,,,pending,
G1V1-U1-KP02-V03,5以内数的组成,,,,,,,,pending,
G1V1-U1-KP02-V04,5以内数的组成,,,,,,,,pending,
G1V1-U1-KP02-V05,5以内数的组成,,,,,,,,pending,
G1V1-U1-KP02-V06,5以内数的组成,,,,,,,,pending,
G1V1-U1-KP02-V07,5以内数的组成,,,,,,,,pending,
G1V1-U1-KP02-V08,5以内数的组成,,,,,,,,pending,
G1V1-U1-KP02-V09,5以内数的组成,,,,,,,,pending,
G1V1-U1-KP02-V10,5以内数的组成,,,,,,,,pending,
G1V1-U1-KP03-T,5以内加减法与看图列式,,,,,,,,pending,
G1V1-U1-KP03-V01,5以内加减法与看图列式,,,,,,,,pending,
G1V1-U1-KP03-V02,5以内加减法与看图列式,,,,,,,,pending,
G1V1-U1-KP03-V03,5以内加减法与看图列式,,,,,,,,pending,
G1V1-U1-KP03-V04,5以内加减法与看图列式,,,,,,,,pending,
G1V1-U1-KP03-V05,5以内加减法与看图列式,,,,,,,,pending,
G1V1-U1-KP03-V06,5以内加减法与看图列式,,,,,,,,pending,
G1V1-U1-KP03-V07,5以内加减法与看图列式,,,,,,,,pending,
G1V1-U1-KP03-V08,5以内加减法与看图列式,,,,,,,,pending,
G1V1-U1-KP03-V09,5以内加减法与看图列式,,,,,,,,pending,
G1V1-U1-KP03-V10,5以内加减法与看图列式,,,,,,,,pending,
G1V1-U2-KP01-T,6~10的组成与数序,,,,,,,,pending,
G1V1-U2-KP01-V01,6~10的组成与数序,,,,,,,,pending,
G1V1-U2-KP01-V02,6~10的组成与数序,,,,,,,,pending,
G1V1-U2-KP01-V03,6~10的组成与数序,,,,,,,,pending,
G1V1-U2-KP01-V04,6~10的组成与数序,,,,,,,,pending,
G1V1-U2-KP01-V05,6~10的组成与数序,,,,,,,,pending,
G1V1-U2-KP01-V06,6~10的组成与数序,,,,,,,,pending,
G1V1-U2-KP01-V07,6~10的组成与数序,,,,,,,,pending,
G1V1-U2-KP01-V08,6~10的组成与数序,,,,,,,,pending,
G1V1-U2-KP01-V09,6~10的组成与数序,,,,,,,,pending,
G1V1-U2-KP01-V10,6~10的组成与数序,,,,,,,,pending,
G1V1-U2-KP02-T,10以内加减法和连算,,,,,,,,pending,
G1V1-U2-KP02-V01,10以内加减法和连算,,,,,,,,pending,
G1V1-U2-KP02-V02,10以内加减法和连算,,,,,,,,pending,
G1V1-U2-KP02-V03,10以内加减法和连算,,,,,,,,pending,
G1V1-U2-KP02-V04,10以内加减法和连算,,,,,,,,pending,
G1V1-U2-KP02-V05,10以内加减法和连算,,,,,,,,pending,
G1V1-U2-KP02-V06,10以内加减法和连算,,,,,,,,pending,
G1V1-U2-KP02-V07,10以内加减法和连算,,,,,,,,pending,
G1V1-U2-KP02-V08,10以内加减法和连算,,,,,,,,pending,
G1V1-U2-KP02-V09,10以内加减法和连算,,,,,,,,pending,
G1V1-U2-KP02-V10,10以内加减法和连算,,,,,,,,pending,
G1V1-U2-KP03-T,10以内加减法应用,,,,,,,,pending,
G1V1-U2-KP03-V01,10以内加减法应用,,,,,,,,pending,
G1V1-U2-KP03-V02,10以内加减法应用,,,,,,,,pending,
G1V1-U2-KP03-V03,10以内加减法应用,,,,,,,,pending,
G1V1-U2-KP03-V04,10以内加减法应用,,,,,,,,pending,
G1V1-U2-KP03-V05,10以内加减法应用,,,,,,,,pending,
G1V1-U2-KP03-V06,10以内加减法应用,,,,,,,,pending,
G1V1-U2-KP03-V07,10以内加减法应用,,,,,,,,pending,
G1V1-U2-KP03-V08,10以内加减法应用,,,,,,,,pending,
G1V1-U2-KP03-V09,10以内加减法应用,,,,,,,,pending,
G1V1-U2-KP03-V10,10以内加减法应用,,,,,,,,pending,
G1V1-U3-KP01-T,辨认长方体、正方体、圆柱和球,,,,,,,,pending,
G1V1-U3-KP01-V01,辨认长方体、正方体、圆柱和球,,,,,,,,pending,
G1V1-U3-KP01-V02,辨认长方体、正方体、圆柱和球,,,,,,,,pending,
G1V1-U3-KP01-V03,辨认长方体、正方体、圆柱和球,,,,,,,,pending,
G1V1-U3-KP01-V04,辨认长方体、正方体、圆柱和球,,,,,,,,pending,
G1V1-U3-KP01-V05,辨认长方体、正方体、圆柱和球,,,,,,,,pending,
G1V1-U3-KP01-V06,辨认长方体、正方体、圆柱和球,,,,,,,,pending,
G1V1-U3-KP01-V07,辨认长方体、正方体、圆柱和球,,,,,,,,pending,
G1V1-U3-KP01-V08,辨认长方体、正方体、圆柱和球,,,,,,,,pending,
G1V1-U3-KP01-V09,辨认长方体、正方体、圆柱和球,,,,,,,,pending,
G1V1-U3-KP01-V10,辨认长方体、正方体、圆柱和球,,,,,,,,pending,
G1V1-U4-KP01-T,11~20的组成与数位,,,,,,,,pending,
G1V1-U4-KP01-V01,11~20的组成与数位,,,,,,,,pending,
G1V1-U4-KP01-V02,11~20的组成与数位,,,,,,,,pending,
G1V1-U4-KP01-V03,11~20的组成与数位,,,,,,,,pending,
G1V1-U4-KP01-V04,11~20的组成与数位,,,,,,,,pending,
G1V1-U4-KP01-V05,11~20的组成与数位,,,,,,,,pending,
G1V1-U4-KP01-V06,11~20的组成与数位,,,,,,,,pending,
G1V1-U4-KP01-V07,11~20的组成与数位,,,,,,,,pending,
G1V1-U4-KP01-V08,11~20的组成与数位,,,,,,,,pending,
G1V1-U4-KP01-V09,11~20的组成与数位,,,,,,,,pending,
G1V1-U4-KP01-V10,11~20的组成与数位,,,,,,,,pending,
G1V1-U4-KP02-T,11~20大小比较与简单计算,,,,,,,,pending,
G1V1-U4-KP02-V01,11~20大小比较与简单计算,,,,,,,,pending,
G1V1-U4-KP02-V02,11~20大小比较与简单计算,,,,,,,,pending,
G1V1-U4-KP02-V03,11~20大小比较与简单计算,,,,,,,,pending,
G1V1-U4-KP02-V04,11~20大小比较与简单计算,,,,,,,,pending,
G1V1-U4-KP02-V05,11~20大小比较与简单计算,,,,,,,,pending,
G1V1-U4-KP02-V06,11~20大小比较与简单计算,,,,,,,,pending,
G1V1-U4-KP02-V07,11~20大小比较与简单计算,,,,,,,,pending,
G1V1-U4-KP02-V08,11~20大小比较与简单计算,,,,,,,,pending,
G1V1-U4-KP02-V09,11~20大小比较与简单计算,,,,,,,,pending,
G1V1-U4-KP02-V10,11~20大小比较与简单计算,,,,,,,,pending,
G1V1-U5-KP01-T,凑十法和20以内进位加法,,,,,,,,pending,
G1V1-U5-KP01-V01,凑十法和20以内进位加法,,,,,,,,pending,
G1V1-U5-KP01-V02,凑十法和20以内进位加法,,,,,,,,pending,
G1V1-U5-KP01-V03,凑十法和20以内进位加法,,,,,,,,pending,
G1V1-U5-KP01-V04,凑十法和20以内进位加法,,,,,,,,pending,
G1V1-U5-KP01-V05,凑十法和20以内进位加法,,,,,,,,pending,
G1V1-U5-KP01-V06,凑十法和20以内进位加法,,,,,,,,pending,
G1V1-U5-KP01-V07,凑十法和20以内进位加法,,,,,,,,pending,
G1V1-U5-KP01-V08,凑十法和20以内进位加法,,,,,,,,pending,
G1V1-U5-KP01-V09,凑十法和20以内进位加法,,,,,,,,pending,
G1V1-U5-KP01-V10,凑十法和20以内进位加法,,,,,,,,pending,
G1V2-U1-KP01-T,辨认平面图形与简单拼组,,,,,,,,pending,
G1V2-U1-KP01-V01,辨认平面图形与简单拼组,,,,,,,,pending,
G1V2-U1-KP01-V02,辨认平面图形与简单拼组,,,,,,,,pending,
G1V2-U1-KP01-V03,辨认平面图形与简单拼组,,,,,,,,pending,
G1V2-U1-KP01-V04,辨认平面图形与简单拼组,,,,,,,,pending,
G1V2-U1-KP01-V05,辨认平面图形与简单拼组,,,,,,,,pending,
G1V2-U1-KP01-V06,辨认平面图形与简单拼组,,,,,,,,pending,
G1V2-U1-KP01-V07,辨认平面图形与简单拼组,,,,,,,,pending,
G1V2-U1-KP01-V08,辨认平面图形与简单拼组,,,,,,,,pending,
G1V2-U1-KP01-V09,辨认平面图形与简单拼组,,,,,,,,pending,
G1V2-U1-KP01-V10,辨认平面图形与简单拼组,,,,,,,,pending,
G1V2-U2-KP01-T,十几减几的口算,,,,,,,,pending,
G1V2-U2-KP01-V01,十几减几的口算,,,,,,,,pending,
G1V2-U2-KP01-V02,十几减几的口算,,,,,,,,pending,
G1V2-U2-KP01-V03,十几减几的口算,,,,,,,,pending,
G1V2-U2-KP01-V04,十几减几的口算,,,,,,,,pending,
G1V2-U2-KP01-V05,十几减几的口算,,,,,,,,pending,
G1V2-U2-KP01-V06,十几减几的口算,,,,,,,,pending,
G1V2-U2-KP01-V07,十几减几的口算,,,,,,,,pending,
G1V2-U2-KP01-V08,十几减几的口算,,,,,,,,pending,
G1V2-U2-KP01-V09,十几减几的口算,,,,,,,,pending,
G1V2-U2-KP01-V10,十几减几的口算,,,,,,,,pending,
G1V2-U2-KP02-T,比较多少的实际问题,,,,,,,,pending,
G1V2-U2-KP02-V01,比较多少的实际问题,,,,,,,,pending,
G1V2-U2-KP02-V02,比较多少的实际问题,,,,,,,,pending,
G1V2-U2-KP02-V03,比较多少的实际问题,,,,,,,,pending,
G1V2-U2-KP02-V04,比较多少的实际问题,,,,,,,,pending,
G1V2-U2-KP02-V05,比较多少的实际问题,,,,,,,,pending,
G1V2-U2-KP02-V06,比较多少的实际问题,,,,,,,,pending,
G1V2-U2-KP02-V07,比较多少的实际问题,,,,,,,,pending,
G1V2-U2-KP02-V08,比较多少的实际问题,,,,,,,,pending,
G1V2-U2-KP02-V09,比较多少的实际问题,,,,,,,,pending,
G1V2-U2-KP02-V10,比较多少的实际问题,,,,,,,,pending,
G1V2-U3-KP01-T,按标准分类并读表,,,,,,,,pending,
G1V2-U3-KP01-V01,按标准分类并读表,,,,,,,,pending,
G1V2-U3-KP01-V02,按标准分类并读表,,,,,,,,pending,
G1V2-U3-KP01-V03,按标准分类并读表,,,,,,,,pending,
G1V2-U3-KP01-V04,按标准分类并读表,,,,,,,,pending,
G1V2-U3-KP01-V05,按标准分类并读表,,,,,,,,pending,
G1V2-U3-KP01-V06,按标准分类并读表,,,,,,,,pending,
G1V2-U3-KP01-V07,按标准分类并读表,,,,,,,,pending,
G1V2-U3-KP01-V08,按标准分类并读表,,,,,,,,pending,
G1V2-U3-KP01-V09,按标准分类并读表,,,,,,,,pending,
G1V2-U3-KP01-V10,按标准分类并读表,,,,,,,,pending,
G1V2-U4-KP01-T,100以内数的组成与读写,,,,,,,,pending,
G1V2-U4-KP01-V01,100以内数的组成与读写,,,,,,,,pending,
G1V2-U4-KP01-V02,100以内数的组成与读写,,,,,,,,pending,
G1V2-U4-KP01-V03,100以内数的组成与读写,,,,,,,,pending,
G1V2-U4-KP01-V04,100以内数的组成与读写,,,,,,,,pending,
G1V2-U4-KP01-V05,100以内数的组成与读写,,,,,,,,pending,
G1V2-U4-KP01-V06,100以内数的组成与读写,,,,,,,,pending,
G1V2-U4-KP01-V07,100以内数的组成与读写,,,,,,,,pending,
G1V2-U4-KP01-V08,100以内数的组成与读写,,,,,,,,pending,
G1V2-U4-KP01-V09,100以内数的组成与读写,,,,,,,,pending,
G1V2-U4-KP01-V10,100以内数的组成与读写,,,,,,,,pending,
G1V2-U4-KP02-T,100以内数的比较与估计,,,,,,,,pending,
G1V2-U4-KP02-V01,100以内数的比较与估计,,,,,,,,pending,
G1V2-U4-KP02-V02,100以内数的比较与估计,,,,,,,,pending,
G1V2-U4-KP02-V03,100以内数的比较与估计,,,,,,,,pending,
G1V2-U4-KP02-V04,100以内数的比较与估计,,,,,,,,pending,
G1V2-U4-KP02-V05,100以内数的比较与估计,,,,,,,,pending,
G1V2-U4-KP02-V06,100以内数的比较与估计,,,,,,,,pending,
G1V2-U4-KP02-V07,100以内数的比较与估计,,,,,,,,pending,
G1V2-U4-KP02-V08,100以内数的比较与估计,,,,,,,,pending,
G1V2-U4-KP02-V09,100以内数的比较与估计,,,,,,,,pending,
G1V2-U4-KP02-V10,100以内数的比较与估计,,,,,,,,pending,
G1V2-U5-KP01-T,人民币单位换算,,,,,,,,pending,
G1V2-U5-KP01-V01,人民币单位换算,,,,,,,,pending,
G1V2-U5-KP01-V02,人民币单位换算,,,,,,,,pending,
G1V2-U5-KP01-V03,人民币单位换算,,,,,,,,pending,
G1V2-U5-KP01-V04,人民币单位换算,,,,,,,,pending,
G1V2-U5-KP01-V05,人民币单位换算,,,,,,,,pending,
G1V2-U5-KP01-V06,人民币单位换算,,,,,,,,pending,
G1V2-U5-KP01-V07,人民币单位换算,,,,,,,,pending,
G1V2-U5-KP01-V08,人民币单位换算,,,,,,,,pending,
G1V2-U5-KP01-V09,人民币单位换算,,,,,,,,pending,
G1V2-U5-KP01-V10,人民币单位换算,,,,,,,,pending,
G1V2-U5-KP02-T,简单购物与找零,,,,,,,,pending,
G1V2-U5-KP02-V01,简单购物与找零,,,,,,,,pending,
G1V2-U5-KP02-V02,简单购物与找零,,,,,,,,pending,
G1V2-U5-KP02-V03,简单购物与找零,,,,,,,,pending,
G1V2-U5-KP02-V04,简单购物与找零,,,,,,,,pending,
G1V2-U5-KP02-V05,简单购物与找零,,,,,,,,pending,
G1V2-U5-KP02-V06,简单购物与找零,,,,,,,,pending,
G1V2-U5-KP02-V07,简单购物与找零,,,,,,,,pending,
G1V2-U5-KP02-V08,简单购物与找零,,,,,,,,pending,
G1V2-U5-KP02-V09,简单购物与找零,,,,,,,,pending,
G1V2-U5-KP02-V10,简单购物与找零,,,,,,,,pending,
G1V2-U6-KP01-T,整十数和两位数加减法,,,,,,,,pending,
G1V2-U6-KP01-V01,整十数和两位数加减法,,,,,,,,pending,
G1V2-U6-KP01-V02,整十数和两位数加减法,,,,,,,,pending,
G1V2-U6-KP01-V03,整十数和两位数加减法,,,,,,,,pending,
G1V2-U6-KP01-V04,整十数和两位数加减法,,,,,,,,pending,
G1V2-U6-KP01-V05,整十数和两位数加减法,,,,,,,,pending,
G1V2-U6-KP01-V06,整十数和两位数加减法,,,,,,,,pending,
G1V2-U6-KP01-V07,整十数和两位数加减法,,,,,,,,pending,
G1V2-U6-KP01-V08,整十数和两位数加减法,,,,,,,,pending,
G1V2-U6-KP01-V09,整十数和两位数加减法,,,,,,,,pending,
G1V2-U6-KP01-V10,整十数和两位数加减法,,,,,,,,pending,
G1V2-U7-KP01-T,图形规律和数字规律,,,,,,,,pending,
G1V2-U7-KP01-V01,图形规律和数字规律,,,,,,,,pending,
G1V2-U7-KP01-V02,图形规律和数字规律,,,,,,,,pending,
G1V2-U7-KP01-V03,图形规律和数字规律,,,,,,,,pending,
G1V2-U7-KP01-V04,图形规律和数字规律,,,,,,,,pending,
G1V2-U7-KP01-V05,图形规律和数字规律,,,,,,,,pending,
G1V2-U7-KP01-V06,图形规律和数字规律,,,,,,,,pending,
G1V2-U7-KP01-V07,图形规律和数字规律,,,,,,,,pending,
